calorie,category,img,salt,title,type,url
630 kcal,pasta,https://www.kyounoryouri.jp/upfile/new_xl_30580_40351.jpg,empty,冷やしカルボナーラ,カルボナーラ,https://www.kyounoryouri.jp/recipe/30580_冷やしカルボナーラ.html
550 kcal,pasta,https://www.kyounoryouri.jp/upfile/new_xl_20210_72345.jpg,empty,かぶら蒸しカルボナーラ,カルボナーラ,https://www.kyounoryouri.jp/recipe/20210_かぶら蒸しカルボナーラ.html
890 kcal,pasta,https://www.kyounoryouri.jp/upfile/new_xl_10922_76215.jpg,empty,アスパラ,カルボナーラ,https://www.kyounoryouri.jp/recipe/10922_アスパラ カルボナーラ.html
450 kcal,pasta,https://www.kyounoryouri.jp/upfile/new_xl_17077_53557.jpg,empty,そうめんのカルボナーラ風,カルボナーラ,https://www.kyounoryouri.jp/recipe/17077_そうめんのカルボナーラ風.html
410 kcal,pasta,https://www.kyounoryouri.jp/upfile/new_xl_16859_07816.jpg,empty,豆乳とみそのカルボナーラ,カルボナーラ,https://www.kyounoryouri.jp/recipe/16859_豆乳とみそのカルボナーラ.html
570 kcal,pasta,https://www.kyounoryouri.jp/upfile/new_xl_1508138202_2403.jpg,empty,カルボナーラ,カルボナーラ,https://www.kyounoryouri.jp/recipe/31738_カルボナーラ.html
480 kcal,pasta,https://www.kyounoryouri.jp/upfile/new_xl_30380_41652.jpg,empty,カルボナーラご飯,カルボナーラ,https://www.kyounoryouri.jp/recipe/30380_カルボナーラご飯.html
480 kcal,pasta,https://www.kyounoryouri.jp/upfile/new_xl_16857_14753.jpg,empty,カルボナーラ,カルボナーラ,https://www.kyounoryouri.jp/recipe/16857_カルボナーラ.html
470 kcal,pasta,https://www.kyounoryouri.jp/upfile/new_xl_13145_71678.jpg,1.30 g,カルボナーラ,カルボナーラ,https://www.kyounoryouri.jp/recipe/13145_カルボナーラ.html
630 kcal,pasta,https://www.kyounoryouri.jp/upfile/new_xl_16858_49260.jpg,empty,ソーセージときのこのカルボナーラ,カルボナーラ,https://www.kyounoryouri.jp/recipe/16858_ソーセージときのこのカルボナーラ.html
670 kcal,pasta,https://www.kyounoryouri.jp/upfile/new_xl_1484728190_8603.jpg,3.70 g,カルボ,カルボナーラ,https://www.kyounoryouri.jp/recipe/21254_カルボ.html
720 kcal,pasta,https://www.kyounoryouri.jp/upfile/new_xl_1529030409_4928.jpg,3.70 g,カルボナーラ,カルボナーラ,https://www.kyounoryouri.jp/recipe/42815_カルボナーラ.html
740 kcal,pasta,https://www.kyounoryouri.jp/upfile/new_xl_1476321589_5752.jpg,empty,カルボナーラ,カルボナーラ,https://www.kyounoryouri.jp/recipe/31404_カルボナーラ.html
460 kcal,pasta,https://www.kyounoryouri.jp/upfile/new_xl_15086_87175.jpg,empty,アスパラのカルボナーラ,カルボナーラ,https://www.kyounoryouri.jp/recipe/15086_アスパラのカルボナーラ.html
870 kcal,pasta,https://www.kyounoryouri.jp/upfile/new_xl_19640_93036.jpg,empty,ベーコンのカルボナーラ風リゾット,カルボナーラ,https://www.kyounoryouri.jp/recipe/19640_ベーコンのカルボナーラ風リゾット.html
390 kcal,pasta,https://www.kyounoryouri.jp/upfile/new_xl_16860_69886.jpg,empty,練りうにのカルボナーラ,カルボナーラ,https://www.kyounoryouri.jp/recipe/16860_練りうにのカルボナーラ.html
870 kcal,pasta,https://www.kyounoryouri.jp/upfile/new_xl_30448_61418.jpg,empty,カルボナーラ,カルボナーラ,https://www.kyounoryouri.jp/recipe/30448_カルボナーラ.html
340 kcal,pasta,https://www.kyounoryouri.jp/upfile/new_xl_17764_46992.jpg,empty,釜あげしらすのカルボナーラうどん,カルボナーラ,https://www.kyounoryouri.jp/recipe/17764_釜あげしらすのカルボナーラうどん.html
600 kcal,pasta,https://www.kyounoryouri.jp/upfile/new_xl_1487744910_5934.jpg,2.00 g,アスパラベーコンの簡単カルボナーラ,カルボナーラ,https://www.kyounoryouri.jp/recipe/41397_アスパラベーコンの簡単カルボナーラ.html
